Time;Symbol;FloatingPnL;Magic;PnLPercent
2025.07.22 15:47;AUDUSD;-411.33;0;-5.73
2025.07.22 15:47;NZDUSD;298.72;0;4.16
2025.07.22 15:47;TOTAL;-112.61;-;-1.57
